player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Jasir Cox,91329,S,W VIRGINIA,12,236,0,343,0,1.0,100.0,50.0,15.0,15.0,0,0,0.0,75.6,0,1,0.0,0,0,79.2,1,17,7.2,34,1,1,1,0,1,0,0.1,1.0,0,4,0.1,87.5,94.4,10.5,9.2,1,2,12.5,73.1,0,17,13.3,2,2,93.0,14,153,64.8,162,4,9,16,0,101,99,0.7,7.2
Greg Laday,91551,CB,COLO STATE,9,133,0,144,0,13.8,0.0,100.0,,9.0,0,0,0.0,61.3,0,,,0,0,39.6,0,38,28.6,38,0,0,4,0,0,0,0.0,,0,1,12.2,77.8,100.0,11.1,8.7,0,0,0.0,55.5,0,32,0.0,0,0,149.1,7,80,60.2,80,2,5,9,1,98,13,1.3,14.0
Rorrick Steward,91565,LB,TROY,3,5,0,318,0,,,50.0,,,0,0,,60.2,0,,,0,0,0.0,0,3,60.0,6,0,0,0,0,0,0,0.0,,0,0,,,66.7,,,0,0,,71.5,0,,0.0,0,0,0.0,0,2,40.0,3,1,1,0,0,0,0,0.0,
Jace Bobo,91645,LB,MARSHALL,10,76,0,214,0,-0.7,100.0,84.0,6.7,6.7,0,0,0.0,41.5,0,17,,0,0,152.1,3,21,27.6,25,1,0,3,1,33,35,1.7,11.0,0,0,1.3,50.0,95.7,21.0,10.5,0,0,0.0,48.7,0,15,66.7,2,0,70.8,2,44,57.9,46,1,1,4,0,26,25,0.6,13.0
Joe Golden,91790,DI,OREGON ST,7,1,0,265,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,20,0,0,0,0,0,0,,,0,0,,,1.8,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,56,0,0,0,0,0,0,0.0,
Valerian Agbaw,97063,CB,CHARLOTTE,4,61,0,136,0,16.7,100.0,92.9,4.3,4.3,0,0,0.0,35.8,0,30,0.0,0,0,158.3,3,13,21.3,14,0,1,3,1,56,6,4.3,18.7,0,0,16.0,66.7,97.4,17.5,11.7,0,1,33.3,56.4,0,21,60.0,3,0,96.5,2,38,62.3,39,0,2,3,0,28,2,0.8,14.0
Aaron Bedgood,97079,WR,COAST CAR,1,1,0,141,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,
Amir McDaniel,97087,CB,LA LAFAYET,11,105,0,207,0,,,100.0,,,0,0,,65.7,0,,,0,0,0.0,0,12,11.4,12,0,0,0,0,0,0,0.0,,0,0,14.1,50.0,100.0,12.4,6.2,0,2,20.0,63.9,1,18,0.0,0,1,33.3,5,69,65.7,69,1,10,10,0,70,24,1.1,14.0
Trey Bly,97090,CB,CHARLOTTE,3,19,0,136,0,,,100.0,,,0,0,,45.2,0,,,0,0,0.0,0,3,15.8,3,0,0,0,0,0,0,0.0,,0,0,28.0,100.0,100.0,14.0,14.0,0,0,0.0,62.7,0,29,0.0,0,0,118.8,1,15,78.9,15,1,2,1,0,29,1,2.1,29.0
Trey Franklin,97132,S,LOUISVILLE,3,15,0,210,0,12.0,0.0,100.0,,9.0,0,1,100.0,74.3,0,,,0,1,39.6,0,9,60.0,9,0,0,1,0,0,0,0.0,,0,0,10.0,0.0,100.0,,4.0,0,0,0.0,50.7,0,,,0,0,39.6,0,5,33.3,5,0,0,1,0,0,0,0.0,
